Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
VO24-1335,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637 883 km,02/04/2019,Gazoil,Volvo,2046,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079675_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1338,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),666 959 km,04/04/2019,Gazoil,Volvo,500 Globetrotter,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079676_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1346,Tracteur Volvo F6 460 (LOA LOCATION OPTION D'ACHAT / LOCATION / VENTE) FH,455 619 km,03/10/2017,Gazoil,Volvo,460 FTP,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11080218_th.jpg,7.8 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1334,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),629 709 km,02/04/2019,Hybride,Volvo,520,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079744_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584 503 km,13/06/2019,Gazoil,Volvo,460,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079674_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
LOC-VO24-1637-A,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637 883 km,02/04/2019,Gazoil,Volvo,NP400,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079675_th.jpg,7.65 Tonnes,19 Tonnes,4x2,510,Occasion
LOC-VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),666 959 km,04/04/2019,Gazoil,Volvo,124P360,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079676_th.jpg,7.51 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1334,Tracteur Volvo F6 460 (LOA LOCATION OPTION D'ACHAT / LOCATION / VENTE) FH,455 619 km,03/10/2017,Gazoil,Volvo,500,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11080218_th.jpg,7.65 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1339,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),629 709 km,02/04/2019,Gazoil,Volvo,480.19 DTI 13,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079744_th.jpg,6.87 Tonnes,19 Tonnes,4x2,430,Occasion
GK-715-RN,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584 503 km,13/06/2019,Gazoil,Volvo,480.18 DTI 13,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079674_th.jpg,8.58 Tonnes,44 Tonnes,4x2,482,Occasion
LOC-VO24-1637-C,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),637 883 km,02/04/2019,Hybride,Volvo,420,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079675_th.jpg,8.5 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1346,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),666 959 km,04/04/2019,Gazoil,Volvo,460 GNL,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079676_th.jpg,8.34 Tonnes,19 Tonnes,4x2,460,Occasion
VO24-1339,Tracteur Volvo F6 460 (LOA LOCATION OPTION D'ACHAT / LOCATION / VENTE) FH,455 619 km,03/10/2017,Gazoil,Volvo,530,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11080218_th.jpg,8.15 Tonnes,44 Tonnes,4x2,482,Occasion
GK-715-RN,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),629 709 km,02/04/2019,Gazoil,Volvo,460,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079744_th.jpg,6.97 Tonnes,18 Tonnes,4x2,482,Occasion
FZ-374-MW,Tracteur Volvo F6 FH 460 Hydraulique (LOA LOCATION OPTION D'ACHAT/LOCATION/VENTE),584 503 km,13/06/2019,Gazoil,Volvo,I SAVE 500,FRANCE,Tarif de location sur demande,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11079674_th.jpg,7.76 Tonnes,19 Tonnes,4x2,482,Occasion
VO77260002,Tracteur Mercedes Actros 1843,694 070 km,11/01/2019,Gazoil,Mercedes,450,FRANCE,Tarif de location sur demande,Cetif Mercedes Creil, Oise,https://photo.static-viamobilis.com/31/1/8342143-photo-tracteur_th.jpg,7.47 Tonnes,19 Tonnes,4x2,34,Occasion
FQ659QC,Tracteur Mercedes Actros 1843,159 431 km,11/01/2019,Gazoil,Mercedes,480,FRANCE,Tarif de location sur demande,Cetif Mercedes Creil, Oise,https://photo.static-viamobilis.com/31/1/8342143-photo-tracteur_th.jpg,8.01 Tonnes,19 Tonnes,4x2,480,Occasion
392223,Tracteur Iveco neuf S-WAY 510,542 000 km,--,Gazoil,Iveco,460.26 DTI 11,FRANCE,Tarif de location sur demande,MARTENAT AUVERGNE, PuydeDôme,https://photo.static-viamobilis.com/31/1/9959078-photo-tracteur_th.jpg,8.5 Tonnes,19 Tonnes,4x2,440,Neuf
71709,Tracteur Mercedes neuf Actros 1845,565 942 km,--,Gazoil,Mercedes,500,FRANCE,Tarif de location sur demande,SAS RAMBACH, SeineetMarne,https://photo.static-viamobilis.com/31/1/11173948-photo-tracteur_th.jpg,7.74 Tonnes,19 Tonnes,4x2,500,Neuf
1583493,Tracteur DAF XF 106 480,711 468 km,12/02/2019,Gazoil,DAF,420,FRANCE,Tarif de location sur demande,BG TRANS POIDS LOURDS, Vald'Oise,https://photo.static-viamobilis.com/31/1/11172321-photo-tracteur_th.jpg,10.2 Tonnes,19 Tonnes,4x2,460,Occasion
SCANIA SUPER R500,Tracteur Volvo FH16 750,403 426 km,03/07/2023,Gazoil,Volvo,480 FT,FRANCE,Tarif de location sur demande,DB EQUIPMENT, Savoie,https://photo.static-viamobilis.com/31/1/10914373_th.jpg,8.43 Tonnes,19 Tonnes,4x2,500,Occasion
44588,Tracteur Iveco Stralis 430,364 294 km,01/06/2006,Gazoil,Iveco,620,FRANCE,Tarif de location sur demande,MTI manutention, Yvelines,https://photo.static-viamobilis.com/31/1/9988650-photo-tracteur_th.jpg,8.19 Tonnes,19 Tonnes,4x2,520,Occasion
BQ 009 QH,Tracteur Mercedes ACTROS 1846,400 000 km,01/01/2016,Gazoil,Mercedes,450,FRANCE,Tarif de location sur demande,RITCHIE BROS AUCTION FRANCE SAS, Eure,https://photo.static-viamobilis.com/31/1/11163685_th.jpg,7.4 Tonnes,19.5 Tonnes,4x2,480,Occasion
318017,Tracteur Mercedes Actros 1845,1 km,22/11/2017,Gazoil,Mercedes,500 Globetrotter XL,FRANCE,Tarif de location sur demande,Petro-Services, Vendée,https://photo.static-viamobilis.com/31/1/10834786-photo-tracteur_th.jpg,7.73 Tonnes,33 Tonnes,4x2,580,Occasion
XLRTEF5300G411099,Tracteur Scania S 590,695 306 km,16/01/2024,Gazoil,Scania,460,FRANCE,Tarif de location sur demande,Transports Nickel SAS, Moselle,https://photo.static-viamobilis.com/31/1/11164465-photo-tracteur_th.jpg,15.4 Tonnes,18 Tonnes,4x2,500,Occasion
70296238,Tracteur Renault Magnum 500 DXI,475 000 km,05/03/2008,Gazoil,Renault,520,FRANCE,Tarif de location sur demande,BORRAS TRUCKS SARL, Gard,https://photo.static-viamobilis.com/31/1/11161330-photo-tracteur_th.jpg,8.22 Tonnes,20.5 Tonnes,4x2,482,Occasion
385,Tracteur Mercedes Actros 1845,621 000 km,28/09/2017,Gazoil,Mercedes,460,FRANCE,Tarif de location sur demande,GGT TRANS SARL, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11073302-photo-tracteur_th.jpg,7.04 Tonnes,20.5 Tonnes,4x2,470,Occasion
248202,Tracteur Iveco S-WAY 440S46 GNL,820 328 km,29/11/2021,Gazoil,Iveco,480 FT,FRANCE,Tarif de location sur demande,DPL 21, Côted'Or,https://photo.static-viamobilis.com/31/1/10453991_th.jpg,8.85 Tonnes,18 Tonnes,6x4,482,Occasion - Accidenté
70312439,Ensemble routier porte engins Mercedes Actros 1836,664 000 km,01/04/2014,Gazoil,Mercedes,420,FRANCE,Tarif de location sur demande,Cotiere auto, Ain,https://photo.static-viamobilis.com/34/1/11119608-photo-ensemble_routier_th.jpg,8.43 Tonnes,19.5 Tonnes,4x2,519,Occasion
M452-0417,Tracteur Mercedes neuf Actros 1848 LS,523 500 km,--,Gazoil,Mercedes,500,FRANCE,Tarif de location sur demande,Techstar Mercedes - Villeparisis, SeineetMarne,https://photo.static-viamobilis.com/31/1/11062570-photo-tracteur_th.jpg,7.51 Tonnes,19.5 Tonnes,4x2,399,Neuf
XLRTEH4300G357853,Tracteur Mercedes Arocs,253 000 km,04/06/2020,Gazoil,Mercedes,570,FRANCE,Tarif de location sur demande,FS NEGOCE VEHICULES, Gard,https://photo.static-viamobilis.com/31/1/10964455-photo-tracteur_th.jpg,8.44 Tonnes,21 Tonnes,4x2,450,Occasion
XLRTEH4300G351067,Tracteur Iveco S-WAY -Way 460 GAZ NATUREL,530 000 km,02/02/2021,Gazoil,Iveco,520 T4X2 E6,FRANCE,Tarif de location sur demande,L.V.I, Rhône,https://photo.static-viamobilis.com/32/1/11020727_th.jpg,10.11 Tonnes,19 Tonnes,4x2,422,Occasion
TC66797,Tracteur auto-école Renault Premium 460 DXI,615 255 km,15/09/2012,Gazoil,Renault,480,FRANCE,Tarif de location sur demande,C Ph CONSEIL SARL, Mayenne,https://photo.static-viamobilis.com/31/1/10569199-photo-tracteur_th.jpg,10.24 Tonnes,20.5 Tonnes,4x2,480,Occasion
TC45647,Tracteur Renault T-Series 480,257 695 km,15/01/2018,Gazoil,Renault,460 SC,FRANCE,Tarif de location sur demande,FCE, BasRhin,https://photo.static-viamobilis.com/31/1/10568681-photo-tracteur_th.jpg,8.84 Tonnes,18 Tonnes,4x2,500,Occasion - Accidenté
TC95780,Tracteur produits dangereux / adr Renault Premium 460 EEV,565 000 km,28/11/2011,Gazoil,Renault,480,FRANCE,Tarif de location sur demande,B.I.B, Rhône,https://photo.static-viamobilis.com/31/1/7699916-photo-tracteur_th.jpg,9.2 Tonnes,18 Tonnes,4x2,441,Occasion
XLRTEF5300G411888,Tracteur MAN TGS 18.460 4X2 LX Retarder Alcoa's,370 000 km,31/05/2019,Gazoil,MAN,,PAYS-BAS,Tarif de location sur demande,BAS WORLD,,https://photo.static-viamobilis.com/31/1/11111402_th.jpg,,19 Tonnes,4x2,459,Occasion
VMA5278,Tracteur produits dangereux / adr MAN TGX 18.460 4X2 ADR XLX Retarder,560 000 km,31/03/2017,Gazoil,MAN,,PAYS-BAS,Tarif de location sur demande,BAS WORLD,,https://photo.static-viamobilis.com/31/1/11112661_th.jpg,,19 Tonnes,4x2,489,Occasion
H290131,Tracteur Mercedes Actros 1851,719 068 km,21/12/2022,Gazoil,Mercedes,,ESPAGNE,Tarif de location sur demande,CONCESUR MADRID SL - CAMIONES, Madrid,https://photo.static-viamobilis.com/31/1/11171406_th.jpg,,19 Tonnes,4x2,440,Occasion
70311516,Tracteur DAF XG + 530 4X2 Retarder 2xTanks Standklima,403 846 km,24/05/2023,Gazoil,DAF,,ALLEMAGNE,Tarif de location sur demande,BAS WORLD DORTMUND, NordrheinWestfalen,https://photo.static-viamobilis.com/31/1/11171162_th.jpg,,19 Tonnes,4x2,440,Occasion
70314013,Tracteur DAF XG 530 4X2 Retarder 2xTanks,438 687 km,26/09/2022,Gazoil,DAF,,ALLEMAGNE,Tarif de location sur demande,BAS WORLD DORTMUND, NordrheinWestfalen,https://photo.static-viamobilis.com/31/1/11171160_th.jpg,,18 Tonnes,4x2,479,Occasion
XLRTEH4300G413410,"Tracteur MAN TGS 18 460 EURO 6, Retarder, PTO",354 721 km,27/08/2018,Gazoil,MAN,,PAYS-BAS,Tarif de location sur demande,JB TRADING, Gelderland,https://photo.static-viamobilis.com/31/1/11106459_th.jpg,,,4x2,500,Occasion
,Tracteur Scania R 580 etarder,,08/03/2016,,Scania,,BELGIQUE,Tarif de location sur demande,SMEETS & ZONEN NV, Limburg,https://photo.static-viamobilis.com/31/1/10976552_th.jpg,,,,,Occasion
,Tracteur MAN TGA 26.530 tractor 6x4,,04/08/2003,,MAN,,BELGIQUE,Tarif de location sur demande,SMEETS & ZONEN NV, Limburg,https://photo.static-viamobilis.com/31/1/10876535_th.jpg,,,,,Occasion
,Tracteur Scania L R 580 Showtruck A options,,04/02/2016,,Scania,,BELGIQUE,Tarif de location sur demande,SMEETS & ZONEN NV, Limburg,https://photo.static-viamobilis.com/31/1/10859340_th.jpg,,,,,Occasion
,Tracteur Mercedes Arocs 2045 4x4 NO hydrodrive,,22/05/2014,,Mercedes,,BELGIQUE,Tarif de location sur demande,SMEETS & ZONEN NV, Limburg,https://photo.static-viamobilis.com/31/1/10757201_th.jpg,,,,,Occasion
,Tracteur Volvo FH 480 GlobeXl manual 617'km belgium truck,,10/07/2006,,Volvo,,BELGIQUE,Tarif de location sur demande,SMEETS & ZONEN NV, Limburg,https://photo.static-viamobilis.com/31/1/10574115_th.jpg,,,,,Occasion
